id,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,Q2a1,Q2a2,RQ2A2,Q11A$01,총액1인TOT,Q7,Q7_01,Q7_02,D_MON,D_MON_season,D_NAT,D_NAT_GROUP,D_SEX,D_AGE
648.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,10.0,11.0,12.0,,,15.0,,,12.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,13.0,,,,17.0,180,181,14.00,,7380.75,5.0,1.0,1.0,1.00,4.00,12.00,2.00,2.00,2.00
654.0,3.0,,,,1.0,,,,,,,,,,,,,,14.0,,16.0,,14.0,16.0,,,,,,,,,,,,,,,,,16.0,,5,6,2.00,1.00,3406.50,4.0,1.0,0.0,1.00,4.00,97.00,4.00,1.00,3.00
657.0,3.0,,,,1.0,,,,,,,,,,,,,,14.0,,,,14.0,,,,,,,,6.0,,,,,,,,,,,,1,2,1.00,1.00,3406.50,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,5.00
663.0,3.0,,,,1.0,,,,4.0,,6.0,,,,,,,,14.0,,,,14.0,4.0,6.0,1.0,2.0,,,,,,,,,,,13.0,,,,17.0,89,90,13.00,1.00,11355.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,2.00
664.0,4.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,,,,,15.0,,,3.0,4.0,2.0,1.0,,3.0,,,,,,,,,,13.0,,,,17.0,119,120,14.00,1.00,11355.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,2.00
667.0,4.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,,12.0,,,15.0,,,12.0,2.0,3.0,1.0,,3.0,,,,,,,,,,13.0,,,,17.0,119,120,14.00,1.00,11355.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,2.00,2.00
676.0,4.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,13.0,,15.0,,,13.0,11.0,3.0,1.0,,,4.0,5.0,,,,,,,,13.0,14.0,,,17.0,180,181,14.00,1.00,8200.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,2.00
680.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,,,,60,61,13.00,,5900.00,3.0,0.0,0.0,1.00,4.00,16.00,1.00,1.00,2.00
681.0,3.0,,,,1.0,,,,,,,,,,,,,,14.0,,,,14.0,,,1.0,2.0,,,,,,,,,,,,,,,,300,301,14.00,,7400.00,4.0,1.0,0.0,1.00,4.00,97.00,4.00,1.00,3.00
688.0,3.0,,,,1.0,,2.0,3.0,,,,,,,,11.0,,,14.0,15.0,,,11.0,15.0,14.0,1.0,,3.0,,,,,,,,,,,,,,,300,301,14.00,,4940.79,5.0,1.0,1.0,1.00,4.00,2.00,1.00,1.00,2.00
694.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,8234.65,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,2.00
695.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,15.0,2.0,,1.0,,,,,,,,,,,,,,,,,89,90,13.00,,4710.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,2.00
697.0,3.0,,,,1.0,,,3.0,,5.0,,,,,,,,,14.0,,,,14.0,3.0,5.0,,2.0,,,,,,,,,,,,,,,,69,70,13.00,1.00,10860.00,5.0,1.0,1.0,1.00,4.00,5.00,1.00,2.00,2.00
698.0,4.0,,,,1.0,,2.0,3.0,,,,,,,,,,,,15.0,,,3.0,2.0,15.0,1.0,,,,,,,,,,,,,,,,,329,330,14.00,,9881.58,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,2.00
699.0,2.0,13.0,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,9.0,,,,,,,,,40,41,12.00,,5000.00,4.0,1.0,0.0,1.00,4.00,9.00,3.00,1.00,3.00
700.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,2.00
701.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,15.0,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
702.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,15.0,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,3.00
703.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,3.00
704.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,1.00,3.00
705.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,15.0,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,4.00
706.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,15.0,,,,,,5.0,,,,,,,,,,,,,59,60,12.00,,7850.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,3.00
708.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,15.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,119,120,14.00,,4710.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
709.0,4.0,,,,1.0,1.0,2.0,,,5.0,,,,,,,,,,15.0,,,2.0,1.0,5.0,,,,,,,,,,,11.0,,,,,,,329,330,14.00,,7850.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
710.0,3.0,,,,1.0,,2.0,3.0,4.0,5.0,,,,,,,,,14.0,,,,14.0,5.0,4.0,1.0,,3.0,,5.0,,,,,,11.0,,,,,,,120,121,14.00,1.00,50000.00,5.0,1.0,1.0,1.00,4.00,9.00,3.00,1.00,2.00
712.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,,,,2.0,,,,,,,,,11.0,,,,,,,59,60,12.00,,1570.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,1.00,4.00
714.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,14.0,,,2.0,,,,,,,,,11.0,,,,,,,59,60,12.00,,1570.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,1.00,3.00
737.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,15.0,,,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,149,150,14.00,,7850.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
741.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,,,2.0,,,,,,,,,,,,,,,,5,6,2.00,1.00,2800.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,3.00
743.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,,,2.0,,,,,,,,,,,,,,,,4,5,2.00,1.00,2500.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,3.00
745.0,4.0,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,15.0,,,1.0,2.0,3.0,,,,,,,,,,,,,13.0,,,,,179,180,14.00,,4710.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
